school_id,ลำดับ,รหัส,รายการ,รายการ(cm.),จำนวนที่ใช้ได้,จำนวนรอซ่อม,จำนวนรอจำหน่าย
1020080035,55,22039,ครุภัณฑ์การศึกษา,อุปกรณ์ห้องปฏิบัติการวิทยาศาสตร์ (ประถม-มัธยมต้น),0,0,0
1020080035,56,22040,ครุภัณฑ์การศึกษา,อุปกรณ์ห้องปฏิบัติการวิทยาศาสตร์ (มัธยมศึกษา),0,0,0
1020080035,57,22041,ครุภัณฑ์การศึกษา,คอมพิวเตอร์พกพา(Tablet),0,0,0
1020080035,58,22042,ครุภัณฑ์การศึกษา,เครื่องคอมพิวเตอร์พกพา(Notebook)(ใช้ในการเรียนการสอน),14,0,2
1020080035,59,22043,ครุภัณฑ์การศึกษา,โทรทัศน์สีชนิด จอแบน (LCD),12,0,2
1020080035,60,23001,ครุภัณฑ์ไฟฟ้าและวิทยุ,เครื่องกำเนิดไฟฟ้าพลังแสงอาทิตย์ เบนซิน,0,0,0
1020080035,61,23002,ครุภัณฑ์ไฟฟ้าและวิทยุ,เครื่องตัดกระแสไฟฟ้า,1,0,0
1020080035,62,23003,ครุภัณฑ์ไฟฟ้าและวิทยุ,เครื่องขยายเสียง,1,0,0
1020080035,63,23004,ครุภัณฑ์ไฟฟ้าและวิทยุ,"เครื่องกำเนิดไฟฟ้า 5, 10 กิโลวัตต์",0,0,0
1020080035,64,23005,ครุภัณฑ์ไฟฟ้าและวิทยุ,เครื่องปรับอากาศ,15,5,5
1020080035,65,24001,ครุภัณฑ์งานบ้านและงานครัว,เครื่องกรองน้ำ,5,0,0
1020080035,66,24002,ครุภัณฑ์งานบ้านและงานครัว,เครื่องทำน้ำเย็น,7,0,0
1020080035,67,24003,ครุภัณฑ์งานบ้านและงานครัว,ถังน้ำขนาด 2000 ลิตร แบบไฟเบอร์กลาส,0,0,0
1020080035,68,24004,ครุภัณฑ์งานบ้านและงานครัว,เครื่องตัดหญ้า,0,0,0
1020080035,69,24005,ครุภัณฑ์งานบ้านและงานครัว,โต๊ะอาหารพร้อมเก้าอี้,66,0,0
1020080035,70,24006,ครุภัณฑ์งานบ้านและงานครัว,ตู้เย็น,0,0,7
1020080035,71,24007,ครุภัณฑ์งานบ้านและงานครัว,ถังน้ำขนาด 2000 ลิดร แบบพลาสติก,1,0,0
1020080035,72,24008,ครุภัณฑ์งานบ้านและงานครัว,ถังน้ำขนาด 1000 ลิตร ขึ้นไป แบบไฟเบอร์กลาส,0,0,0
1020080035,73,24009,ครุภัณฑ์งานบ้านและงานครัว,ถังน้ำขนาด 1000 ลิตร ขึ้นไป แบบพลาสติก,1,0,0
1020080035,74,24010,ครุภัณฑ์งานบ้านและงานครัว,ถังน้ำขนาด 1000 ลิตร ขึ้นไป แบบสแตนเลส,2,0,0
1020080035,75,25001,ครุภัณฑ์ยานพาหนะ,รถโดยสาร 12 ที่นั่ง,0,0,0
1020080035,76,25002,ครุภัณฑ์ยานพาหนะ,รถกระบะ,0,0,0
